"","DomainOwnerName","total_hits","notes"
"1","Other",58171,""
"2","Google",24431,""
"3","Apple",23041,""
"4","Microsoft",14492,""
"5","Spotify",9867,""
"6","Meta",9308,""
"7","Signal Technology Foundation",4744,""
"8","Branch",2974,""
"9","Strava Inc.",2406,""
"10","Snap Inc.",2155,""
"11","SMG AG",865,""
"12","Functional Software",781,""
"13","Unity Software Inc.",606,""
"14","Amazon",584,""
"15","Reddit",554,""
"16","AddApptr",510,""
"17","Twitter Inc.",372,""
"18","Jodel Venture GmbH",371,""
"19","AppsFlyer",370,""
"20","Alibaba Group",361,""
"21","ByteDance Ltd.",308,""
"22","SBB CFF FFS",293,""
"23","Brave Software Inc.",277,""
"24","Digitec Galaxus AG",273,""
"25","Tencent Holdings Limited",238,""
"26","SAP SE",229,""
"27","OneTrust",228,""
"28","TX Group AG",197,""
"29","comScore Inc.",183,""
"30","AT&T Inc.",155,""
"31","Bluesky Social PBC",138,""
"32","OneSignal",121,""
"33","DigiCert",119,""
"34","United Airship Inc.",116,""
"35","RevenueCat",104,""
"36","SRG SRF",101,""
"37","Adobe",97,""
"38","Shutterstock",92,""
"39","Braze Inc.",86,""
"40","Mapbox",85,""
"41","TWINT AG",84,""
"42","AppLovin Corp.",83,""
"43","Vungle Inc.",73,""
"44","Mozilla Firefox",60,""
"45","Migros-Genossenschafts-Bund (MGB)",54,""
"46","Amplitude",49,""
"47","DoubleVerify Holdings Inc.",46,""
"48","Usercentrics GmbH",44,""
"49","Rudolf Augstein GmbH & Co. KG",40,""
"50","Kochava",39,""
"51","CleverTap",30,""
"52","Digital Turbine",28,""
"53","Zendesk",28,""
"54","InMobi Pte",19,""
"55","Let's Encrypt",19,""
"56","Criteo SA",18,""
"57","DataDome",17,""
"58","Forter Inc.",17,""
"59","Datadog Inc.",15,""
"60","Moloco Inc.",14,""
"61","IPONWEB",10,""
"62","PayPal",8,""
"63","Prospect One",8,""
"64","Sift Science Inc.",7,""
"65","Vizbee Inc.",7,""
"66","Bugsnag Inc.",6,""
"67","Index Exchange",6,""
"68","Cloudflare",5,""
"69","Mixpanel Inc.",5,""
"70","OpenX Inc.",5,""
"71","ShareThis Inc.",5,""
"72","Trade Desk Inc.",5,""
"73","YieldMo Inc.",5,""
"74","Magnite Inc.",4,""
"75","Mobvista",4,""
"76","Segment Inc.",4,""
"77","TripleLift",4,""
"78","Trustpilot",4,""
"79","Iterable",2,""
"80","LiveRamp",2,""
"81","Pulsepoint",2,""
"82","Salesforce",2,""
"83","Verizon Media",2,""
"84","Wingify",2,""
"85","Zeta Global",2,""
"86","Fastly",1,""
"87","GumGum",1,""
"88","Helpshift",1,""
"89","ID5 Technology",1,""
"90","LiveIntent Inc.",1,""
"91","Lotame Solutions",1,""
"92","Propeller Ads",1,""
"93","PubMatic Inc.",1,""
"94","Quantcast Corp.",1,""
"95","Rubicon Project",1,""
"96","Sharethrough Inc.",1,""
"97","Singular Labs",1,""
"98","Sovrn Holdings",1,""
"99","Teads",1,""
"100","Throtle",1,""
"101","Undertone Networks",1,""
"102","WarnerMedia",1,""
"103","Yieldlove",1,""
